	cell_count
0	5
1	17
2	8
3	14
4	14
5	10
6	10
7	10
8	5
9	8
10	9
11	11
12	11
13	8
14	11
15	9
16	8
17	6
18	2
19	3
20	11
21	10
22	7
23	10
24	9
25	12
26	9
27	4
28	8
29	10
30	11
31	13
32	10
33	8
34	11
35	12
36	10
37	4
38	4
39	3
40	10
41	8
42	11
43	9
44	10
45	8
46	10
47	8
48	9
49	12
50	9
51	8
52	7
53	9
54	10
55	4
56	2
57	4
58	6
59	4
60	13
61	9
62	6
63	7
64	6
65	11
66	7
67	8
68	11
69	14
70	12
71	9
72	10
73	10
74	5
75	2
76	1
77	5
78	8
79	12
80	12
81	9
82	7
83	10
84	6
85	7
86	12
87	12
88	8
89	6
90	6
91	3
92	8
93	3
94	2
95	7
96	8
97	6
98	6
99	10
100	10
101	6
102	14
103	7
104	9
105	13
106	13
107	13
108	10
109	7
110	9
111	6
112	8
113	4
114	8
115	8
116	4
117	11
118	8
119	9
120	9
121	7
122	7
123	10
124	9
125	10
126	6
127	9
128	10
129	8
130	1
131	1
132	6
133	9
134	13
135	7
136	12
137	10
138	8
139	7
140	6
141	5
142	9
143	15
144	14
145	13
146	9
147	9
148	4
149	1
150	6
151	4
152	12
153	14
154	14
155	10
156	10
157	6
158	7
159	9
160	13
161	11
162	9
163	11
164	10
165	11
166	8
167	7
168	4
169	10
170	6
171	6
172	4
173	7
174	6
175	6
176	3
177	3
178	5
179	7
180	6
181	5
182	6
183	6
184	5
185	3
186	1
187	1
188	3
